"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","group","date","rt","stimulus","response","task_part","task","face_id","condition","age_rating"
"true","false","[]","[]","[]","preload","0","746","0.0-0.0","2","B","21/02/2026","","","","","","","",""
"","","","","","html-keyboard-response","1","3549","0.0-1.0","2","B","21/02/2026","2802","
            <h1>Welcome to the Experiment</h1>
            <p>You will see a series of faces. Each face appears for <b>2 seconds</b>.</p>
            <p>Your task is to estimate their age.</p>
            <p>Press any key to begin Part 1.</p>
        "," ","","","","",""
"","","","","","html-keyboard-response","2","4053","0.0-2.0-0.0","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","3","6060","0.0-2.0-1.0","2","B","21/02/2026","null","<img src=""img/face_065_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","065","grey",""
"","","","","","survey-text","4","12201","0.0-2.0-2.0","2","B","21/02/2026","6128","","{""age"":""31""}","","exp1","065","grey","31"
"","","","","","html-keyboard-response","5","12703","0.0-2.0-0.1","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","6","14719","0.0-2.0-1.1","2","B","21/02/2026","null","<img src=""img/face_098_color.jpg"" style=""height:400px; width:auto;"">","null","","exp1","098","color",""
"","","","","","survey-text","7","39980","0.0-2.0-2.1","2","B","21/02/2026","25258","","{""age"":""39""}","","exp1","098","color","39"
"","","","","","html-keyboard-response","8","40489","0.0-2.0-0.2","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","9","42491","0.0-2.0-1.2","2","B","21/02/2026","null","<img src=""img/face_009_grey.jpg"" style=""height:400px; width:auto;"">","null","","exp1","009","grey",""
"","","","","","survey-text","10","64511","0.0-2.0-2.2","2","B","21/02/2026","22016","","{""age"":""40""}","","exp1","009","grey","40"
"","","","","","html-keyboard-response","11","65025","0.0-2.0-0.3","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","12","67036","0.0-2.0-1.3","2","B","21/02/2026","null","<img src=""img/face_024_color.jpg"" style=""height:400px; width:auto;"">","null","","exp1","024","color",""
"","","","","","survey-text","13","69854","0.0-2.0-2.3","2","B","21/02/2026","2814","","{""age"":""28""}","","exp1","024","color","28"
"","","","","","html-keyboard-response","14","70357","0.0-2.0-0.4","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
