success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject,group,date,rt,stimulus,response,task_part,task,face_id,condition,age_rating
TRUE,FALSE,[],[],[],preload,0,337,0.0-0.0,6,B,23/02/2026,,,,,,,,
,,,,,html-keyboard-response,1,56379,0.0-1.0,6,B,23/02/2026,56040,"
            <h1>Welcome to the Experiment</h1>
            <p>You will see a series of faces. Each face appears for <b>2 seconds</b>.</p>
            <p>Your task is to estimate their age.</p>
            <p>Press any key to begin Part 1.</p>
        ", ,,,,,
,,,,,html-keyboard-response,2,56885,0.0-2.0-0.0,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,3,58899,0.0-2.0-1.0,6,B,23/02/2026,null,"<img src=""img/face_007_grey.jpg"" style=""height:400px; width:auto;"">",null,,exp1,7,grey,
,,,,,survey-text,4,61593,0.0-2.0-2.0,6,B,23/02/2026,2685,,"{""age"":""33""}",,exp1,7,grey,33
,,,,,html-keyboard-response,5,62098,0.0-2.0-0.1,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,6,64113,0.0-2.0-1.1,6,B,23/02/2026,null,"<img src=""img/face_022_color.jpg"" style=""height:400px; width:auto;"">",null,,exp1,22,color,
,,,,,survey-text,7,66278,0.0-2.0-2.1,6,B,23/02/2026,2160,,"{""age"":""24""}",,exp1,22,color,24
,,,,,html-keyboard-response,8,66791,0.0-2.0-0.2,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,9,68797,0.0-2.0-1.2,6,B,23/02/2026,null,"<img src=""img/face_098_color.jpg"" style=""height:400px; width:auto;"">",null,,exp1,98,color,
,,,,,survey-text,10,69938,0.0-2.0-2.2,6,B,23/02/2026,1139,,"{""age"":""45""}",,exp1,98,color,45
,,,,,html-keyboard-response,11,70443,0.0-2.0-0.3,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
