success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject,group,date,rt,stimulus,response,task_part,task,face_id,condition,age_rating
TRUE,FALSE,[],[],[],preload,0,128632,0.0-0.0,8,B,2/25/2026,,,,,,,,
,,,,,html-keyboard-response,1,139086,0.0-1.0,8,B,2/25/2026,10454,"<div class=""welcome-screen-container""><div class=""welcome-screen-wrap""></div><div class=""screen-card""><h1>Welcome to the Experiment</h1><p>You will see a series of faces. Each face appears for <b>2 seconds</b>.</p><p>Your task is to estimate their age.</p><p class=""press-key"">Press any key to begin Part 1.</p></div></div>", ,,,,,
,,,,,html-keyboard-response,2,139592,0.0-2.0-0.0,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,3,141599,0.0-2.0-1.0,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_071_grey.jpg"" alt=""Face""></div>",null,,exp1,71,grey,
,,,,,survey-text,4,155371,0.0-2.0-2.0,8,B,2/25/2026,13768,,"{""age"":""25""}",,exp1,71,grey,25
,,,,,html-keyboard-response,5,155875,0.0-2.0-0.1,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,6,157883,0.0-2.0-1.1,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_010_color.jpg"" alt=""Face""></div>",null,,exp1,10,color,
,,,,,survey-text,7,164708,0.0-2.0-2.1,8,B,2/25/2026,6823,,"{""age"":""30""}",,exp1,10,color,30
,,,,,html-keyboard-response,8,165209,0.0-2.0-0.2,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,9,167221,0.0-2.0-1.2,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_015_grey.jpg"" alt=""Face""></div>",null,,exp1,15,grey,
,,,,,survey-text,10,171792,0.0-2.0-2.2,8,B,2/25/2026,4570,,"{""age"":""34""}",,exp1,15,grey,34
,,,,,html-keyboard-response,11,172297,0.0-2.0-0.3,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,12,174298,0.0-2.0-1.3,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_048_color.jpg"" alt=""Face""></div>",null,,exp1,48,color,
,,,,,survey-text,13,179369,0.0-2.0-2.3,8,B,2/25/2026,5069,,"{""age"":""29""}",,exp1,48,color,29
,,,,,html-keyboard-response,14,179873,0.0-2.0-0.4,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,15,181880,0.0-2.0-1.4,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_014_color.jpg"" alt=""Face""></div>",null,,exp1,14,color,
,,,,,survey-text,16,189853,0.0-2.0-2.4,8,B,2/25/2026,7972,,"{""age"":""40""}",,exp1,14,color,40
,,,,,html-keyboard-response,17,190356,0.0-2.0-0.5,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,18,192358,0.0-2.0-1.5,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_054_color.jpg"" alt=""Face""></div>",null,,exp1,54,color,
,,,,,survey-text,19,197053,0.0-2.0-2.5,8,B,2/25/2026,4694,,"{""age"":""22""}",,exp1,54,color,22
,,,,,html-keyboard-response,20,197558,0.0-2.0-0.6,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,21,199565,0.0-2.0-1.6,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_089_grey.jpg"" alt=""Face""></div>",null,,exp1,89,grey,
,,,,,survey-text,22,205733,0.0-2.0-2.6,8,B,2/25/2026,6167,,"{""age"":""22""}",,exp1,89,grey,22
,,,,,html-keyboard-response,23,206238,0.0-2.0-0.7,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,24,208251,0.0-2.0-1.7,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_091_grey.jpg"" alt=""Face""></div>",null,,exp1,91,grey,
,,,,,survey-text,25,212421,0.0-2.0-2.7,8,B,2/25/2026,4168,,"{""age"":""33""}",,exp1,91,grey,33
,,,,,html-keyboard-response,26,212925,0.0-2.0-0.8,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,27,214926,0.0-2.0-1.8,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_016_color.jpg"" alt=""Face""></div>",null,,exp1,16,color,
,,,,,survey-text,28,219634,0.0-2.0-2.8,8,B,2/25/2026,4707,,"{""age"":""19""}",,exp1,16,color,19
,,,,,html-keyboard-response,29,220138,0.0-2.0-0.9,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,30,222146,0.0-2.0-1.9,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_042_color.jpg"" alt=""Face""></div>",null,,exp1,42,color,
,,,,,survey-text,31,236841,0.0-2.0-2.9,8,B,2/25/2026,14694,,"{""age"":""21""}",,exp1,42,color,21
,,,,,html-keyboard-response,32,237345,0.0-2.0-0.10,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,33,239352,0.0-2.0-1.10,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_093_grey.jpg"" alt=""Face""></div>",null,,exp1,93,grey,
,,,,,survey-text,34,244875,0.0-2.0-2.10,8,B,2/25/2026,5522,,"{""age"":""29""}",,exp1,93,grey,29
,,,,,html-keyboard-response,35,245379,0.0-2.0-0.11,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,36,247395,0.0-2.0-1.11,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_094_color.jpg"" alt=""Face""></div>",null,,exp1,94,color,
,,,,,survey-text,37,258423,0.0-2.0-2.11,8,B,2/25/2026,11027,,"{""age"":""20""}",,exp1,94,color,20
,,,,,html-keyboard-response,38,258926,0.0-2.0-0.12,8,B,2/25/2026,null,"<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>",null,fixation,,,,
,,,,,html-keyboard-response,39,260933,0.0-2.0-1.12,8,B,2/25/2026,null,"<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_092_color.jpg"" alt=""Face""></div>",null,,exp1,92,color,
,,,,,survey-text,40,262263,0.0-2.0-2.12,8,B,2/25/2026,1328,,"{""age"":""30""}",,exp1,92,color,30
