"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","group","date","rt","stimulus","response","task_part","task","face_id","condition","age_rating"
"true","false","[]","[]","[]","preload","0","124210","0.0-0.0","9","A","2/25/2026","","","","","","","",""
"","","","","","html-keyboard-response","1","215956","0.0-1.0","9","A","2/25/2026","91743","<div class=""welcome-screen-container""><div class=""welcome-screen-wrap""></div><div class=""screen-card""><h1>Welcome to the Experiment</h1><p>You will see a series of faces. Each face appears for <b>2 seconds</b>.</p><p>Your task is to estimate their age.</p><p class=""press-key"">Press any key to begin Part 1.</p></div></div>"," ","","","","",""
"","","","","","html-keyboard-response","2","216464","0.0-2.0-0.0","9","A","2/25/2026","null","<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>","null","fixation","","","",""
"","","","","","html-keyboard-response","3","218473","0.0-2.0-1.0","9","A","2/25/2026","null","<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_011_color.jpg"" alt=""Face""></div>","null","","exp1","011","color",""
"","","","","","survey-text","4","227429","0.0-2.0-2.0","9","A","2/25/2026","8949","","{""age"":""30""}","","exp1","011","color","30"
"","","","","","html-keyboard-response","5","227943","0.0-2.0-0.1","9","A","2/25/2026","null","<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>","null","fixation","","","",""
"","","","","","html-keyboard-response","6","229959","0.0-2.0-1.1","9","A","2/25/2026","null","<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_098_grey.jpg"" alt=""Face""></div>","null","","exp1","098","grey",""
"","","","","","survey-text","7","232775","0.0-2.0-2.1","9","A","2/25/2026","2813","","{""age"":""40""}","","exp1","098","grey","40"
"","","","","","html-keyboard-response","8","233291","0.0-2.0-0.2","9","A","2/25/2026","null","<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>","null","fixation","","","",""
"","","","","","html-keyboard-response","9","235304","0.0-2.0-1.2","9","A","2/25/2026","null","<div class=""face-trial-wrap"" id=""face-trial-wrap""></div><div class=""face-container""><img src=""img/face_036_grey.jpg"" alt=""Face""></div>","null","","exp1","036","grey",""
"","","","","","survey-text","10","237465","0.0-2.0-2.2","9","A","2/25/2026","2158","","{""age"":""25""}","","exp1","036","grey","25"
"","","","","","html-keyboard-response","11","237972","0.0-2.0-0.3","9","A","2/25/2026","null","<div class=""loading-screen"" aria-label=""Loading""><div class=""loading-spinner""></div><div class=""loading-dots"" aria-hidden=""true""><span></span><span></span><span></span></div></div>","null","fixation","","","",""
